GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
1,3,3,0,12,18
2,4,5,0,6,15
3,5,7,0,13,43
4,6,9,0,22,54
5,7,11,0,40,147
6,8,13,0,58,147
7,9,15,0,73,201
8,10,17,0,369,1271
9,11,19,0,991,3835
10,12,21,0,1068,2963
11,13,23,0,4560,12353
12,14,25,0,5399,16322
13,15,27,0,6482,15554
14,16,29,0,10990,30500
15,17,31,0,54379,159683
16,18,33,0,32601,89169
17,19,35,0,107112,367276
18,20,37,0,105007,248976
19,21,39,0,230057,525048
20,22,41,0,551565,1311148
21,23,43,0,402995,979154
22,24,45,0,3576712,8464067
23,25,47,0,3475730,8868319
24,26,49,0,7026612,18495541
25,27,51,0,5206575,11934361
26,28,53,0,4157569,8876183
27,29,55,0,91300343,239573155
28,30,57,0,97261389,236790329
